subj:01000000                                arts, culture and entertainment                                     Arts, culture, et spectacles       
               subj:01001000                 archaeology                                                         Archéologie                        
               subj:01002000                 architecture                                                        Architecture                       
               subj:01003000                 bullfighting                                                        Tauromachie                        
               subj:01004000                 festive event (including carnival)                                  Festivals et carnavals             
               subj:01005000                 cinema                                                              Cinéma                             
                              subj:01005001  film festival                                                       Festival de cinéma                 
               subj:01006000                 dance                                                               Danse                              
               subj:01007000                 fashion                                                             Mode                               
                              subj:01007001  jewelry                                                             Joaillerie                         
               subj:01008000                 language                                                            Langue                             
               subj:01009000                 library and museum                                                  Bibliothèque et musée              
               subj:01010000                 literature                                                          Littérature                        
                              subj:01010001  fiction                                                             Fiction                            
                              subj:01010002  poetry                                                              Poésie                             
               subj:01011000                 music                                                               Musique                            
                              subj:01011001  classical music                                                     Musique classique                  
                              subj:01011002  folk music                                                          Folk                               
                              subj:01011003  jazz music                                                          Jazz                               
                              subj:01011004  popular music                                                       Pop                                
                              subj:01011005  country music                                                       Country                            
                              subj:01011006  rock and roll music                                                 Rock                               
                              subj:01011007  hip-hop                                                             Hip Hop                            
               subj:01012000                 painting                                                            Peinture                           
               subj:01013000                 photography                                                         Photographie                       
               subj:01014000                 radio                                                               Radio                              
               subj:01015000                 sculpture                                                           Sculpture                          
                              subj:01015001  plastic art                                                         Arts Plastiques                    
               subj:01016000                 television                                                          Télévision                         
                              subj:01016001  soap opera                                                          Soap opéra                         
               subj:01017000                 theatre                                                             Théâtre                            
                              subj:01017001  music theatre                                                       Musique scénique                   
               subj:01018000                 monument and heritage site                                          Patrimoine                         
                              subj:01018001  institution-DEPRECATED                                              Institutions-DEPRECATED            
               subj:01019000                 customs and tradition                                               Coutumes et traditions             
               subj:01020000                 arts (general)                                                      Arts                               
               subj:01021000                 entertainment (general)                                             Divertissement                     
                              subj:01021001  entertainment award                                                 Trophée divertissement             
               subj:01022000                 culture (general)                                                   Culture                            
                              subj:01022001  cultural development                                                Histoire de la culture             
               subj:01023000                 nightclub                                                           Boîte de nuit                      
               subj:01024000                 cartoon                                                             Bande dessinée                     
               subj:01025000                 animation                                                           Dessin animé                       
               subj:01026000                 mass media                                                          Média                              
                              subj:01026001  periodicals                                                         Périodiques                        
                              subj:01026002  news media                                                          Radio-tv                           
                              subj:01026003  newspapers                                                          Journaux                           
                              subj:01026004  reviews                                                             Revue de critiques                 
               subj:01027000                 internet                                                            Internet                           
               subj:01028000                 history                                                             Histoire                           
subj:02000000                                crime, law and justice                                              Police et justice                  
               subj:02001000                 crime                                                               Criminalité                        
                              subj:02001001  homicide                                                            Homicide                           
                              subj:02001002  computer crime                                                      Piratage informatique              
                              subj:02001003  theft                                                               Vol                                
                              subj:02001004  drug trafficking                                                    Trafic de drogue                   
                              subj:02001005  sexual assault                                                      Viol                               
                              subj:02001006  assault (general)                                                   Agression                          
                              subj:02001007  kidnapping                                                          Kidnapping                         
                              subj:02001008  arson                                                               Incendie criminel                  
                              subj:02001009  gang activity                                                       Délinquance en bandes              
                              subj:02001010  terrorism                                                           Terrorisme                         
               subj:02002000                 judiciary (system of justice)                                       Système judicaire                  
                              subj:02002001  lawyer                                                              Avocat                             
                              subj:02002002  judge                                                               Juge                               
