Arts, culture, et spectacles       arts, culture and entertainment                                     subj:01000000                 
Archéologie                        archaeology                                                                        subj:01001000  
Architecture                       architecture                                                                       subj:01002000  
Tauromachie                        bullfighting                                                                       subj:01003000  
Festivals et carnavals             festive event (including carnival)                                                 subj:01004000  
Cinéma                             cinema                                                                             subj:01005000  
Festival de cinéma                 film festival                                                                                     subj:01005001  
Danse                              dance                                                                              subj:01006000  
Mode                               fashion                                                                            subj:01007000  
Joaillerie                         jewelry                                                                                           subj:01007001  
Langue                             language                                                                           subj:01008000  
Bibliothèque et musée              library and museum                                                                 subj:01009000  
Littérature                        literature                                                                         subj:01010000  
Fiction                            fiction                                                                                           subj:01010001  
Poésie                             poetry                                                                                            subj:01010002  
Musique                            music                                                                              subj:01011000  
Musique classique                  classical music                                                                                   subj:01011001  
Folk                               folk music                                                                                        subj:01011002  
Jazz                               jazz music                                                                                        subj:01011003  
Pop                                popular music                                                                                     subj:01011004  
Country                            country music                                                                                     subj:01011005  
Rock                               rock and roll music                                                                               subj:01011006  
Hip Hop                            hip-hop                                                                                           subj:01011007  
Peinture                           painting                                                                           subj:01012000  
Photographie                       photography                                                                        subj:01013000  
Radio                              radio                                                                              subj:01014000  
Sculpture                          sculpture                                                                          subj:01015000  
Arts Plastiques                    plastic art                                                                                       subj:01015001  
Télévision                         television                                                                         subj:01016000  
Soap opéra                         soap opera                                                                                        subj:01016001  
Théâtre                            theatre                                                                            subj:01017000  
Musique scénique                   music theatre                                                                                     subj:01017001  
Patrimoine                         monument and heritage site                                                         subj:01018000  
Institutions-DEPRECATED            institution-DEPRECATED                                                                            subj:01018001  
Coutumes et traditions             customs and tradition                                                              subj:01019000  
Arts                               arts (general)                                                                     subj:01020000  
Divertissement                     entertainment (general)                                                            subj:01021000  
Trophée divertissement             entertainment award                                                                               subj:01021001  
Culture                            culture (general)                                                                  subj:01022000  
Histoire de la culture             cultural development                                                                              subj:01022001  
Boîte de nuit                      nightclub                                                                          subj:01023000  
Bande dessinée                     cartoon                                                                            subj:01024000  
Dessin animé                       animation                                                                          subj:01025000  
Média                              mass media                                                                         subj:01026000  
Périodiques                        periodicals                                                                                       subj:01026001  
Radio-tv                           news media                                                                                        subj:01026002  
Journaux                           newspapers                                                                                        subj:01026003  
Revue de critiques                 reviews                                                                                           subj:01026004  
Internet                           internet                                                                           subj:01027000  
Histoire                           history                                                                            subj:01028000  
Police et justice                  crime, law and justice                                              subj:02000000                 
Criminalité                        crime                                                                              subj:02001000  
Homicide                           homicide                                                                                          subj:02001001  
Piratage informatique              computer crime                                                                                    subj:02001002  
Vol                                theft                                                                                             subj:02001003  
Trafic de drogue                   drug trafficking                                                                                  subj:02001004  
Viol                               sexual assault                                                                                    subj:02001005  
Agression                          assault (general)                                                                                 subj:02001006  
Kidnapping                         kidnapping                                                                                        subj:02001007  
Incendie criminel                  arson                                                                                             subj:02001008  
Délinquance en bandes              gang activity                                                                                     subj:02001009  
Terrorisme                         terrorism                                                                                         subj:02001010  
Système judicaire                  judiciary (system of justice)                                                      subj:02002000  
Avocat                             lawyer                                                                                            subj:02002001  
Juge                               judge                                                                                             subj:02002002  
Greffe                             court administration                                                                              subj:02002003  
Police                             police                                                                             subj:02003000  
Forces de l'ordre                  law enforcement                                                                                   subj:02003001  
Enquête                            investigation                                                                                     subj:02003002  
Arrestation                        arrest                                                                                            subj:02003003  
Peines                             punishment                                                                         subj:02004000  
Amende                             fine                                                                                              subj:02004001  
Execution                          execution                                                                                         subj:02004002  
Prison                             prison                                                                             subj:02005000  
Lois                               laws                                                                               subj:02006000  
Droit Pénal                        criminal                                                                                          subj:02006001  
Droit civil                        civil                                                                                             subj:02006002  
Droits                             justice and rights                                                                 subj:02007000  
Droits civils                      civil rights                                                                                      subj:02007001  
Procès                             trials                                                                             subj:02008000  
Litige                             litigation                                                                                        subj:02008001  
Arbitrage                          arbitration                                                                                       subj:02008002  
Audiences préliminaires            court preliminary                                                                                 subj:02008003  
Accusation                         prosecution                                                                        subj:02009000  
Accusé                             defendant                                                                                         subj:02009001  
Témoin                             witness                                                                                           subj:02009002  
Crime organisé                     organized crime                                                                    subj:02010000  
Droit International                international law                                                                  subj:02011000  
Cour ou tribunal international     international court or tribunal                                                                   subj:02011001  
Extradition                        extradition                                                                                       subj:02011002  
Délinquance financière             corporate crime                                                                    subj:02012000  
Fraude                             fraud                                                                                             subj:02012001  
Détournements                      embezzlement                                                                                      subj:02012002  
Infraction commerciale             restraint of trade                                                                                subj:02012003  
Violation de contrat               breach of contract                                                                                subj:02012004  
Infraction anti-trust              anti-trust crime                                                                                  subj:02012005  
Corruption                         corruption                                                                                        subj:02012006  
Subornation de témoins             bribery                                                                                           subj:02012007  
Crime de guerre                    war crime                                                                          subj:02013000  
